lambda,time,mu1,mu2,cov11,cov12,cov22
-0.9,7.037037037037037,-1.2959678837811346,1.679868006058273,0.00509338133495552,-0.002608596399781692,0.026317884881931077
-0.9,7.047047047047047,-1.2955824167165926,1.6800492360353805,0.005029587320021515,-0.0025856493300737467,0.026231402289169613
-0.9,7.057057057057057,-1.2948260608754207,1.6800363875420734,0.004976201978918768,-0.0026006491757225108,0.026193816339758987
-0.9,7.067067067067067,-1.2953413659357251,1.6799312889349225,0.005002222875407531,-0.0025537079651382936,0.026164673026965946
-0.9,7.077077077077077,-1.2950179073987422,1.6804048075365277,0.0050115827573931696,-0.002490135123241337,0.026096755086839094
-0.9,7.087087087087087,-1.2948822801936781,1.6804570803320384,0.005064717155169704,-0.0025031738919494757,0.026173703682103144
-0.9,7.097097097097097,-1.294819705141933,1.6801300379969994,0.005038183924903212,-0.0024647338546927534,0.026271373017002695
-0.9,7.107107107107107,-1.295729414098344,1.6803081080711064,0.004995768355155035,-0.0024136896324932007,0.026136604378374183
-0.9,7.117117117117117,-1.2960036888306479,1.6803055606341237,0.005005218986456318,-0.0023735415819394635,0.026130676587456138
-0.9,7.127127127127127,-1.2952884432412013,1.6803218921876364,0.004956744664035261,-0.0023857921183430384,0.026026159742113555
-0.9,7.137137137137137,-1.2950886884797457,1.6806375595256329,0.00499781590059654,-0.002370343233082163,0.02592151984098408
-0.9,7.147147147147147,-1.2948927341158414,1.6801114016038845,0.005002888628342368,-0.0024118259278999373,0.026039616218921053
-0.9,7.157157157157157,-1.2947041112649773,1.6806023399809535,0.005065800499181932,-0.0024876895063007313,0.026117468054758983
-0.9,7.167167167167167,-1.2950773387221226,1.6805329213145046,0.005085989348454825,-0.002505022388492382,0.02618381473233213
-0.9,7.177177177177177,-1.2951035353713896,1.680441193193701,0.005084228887292023,-0.00254858348145664,0.02617224744730955
-0.9,7.187187187187187,-1.2954475189386905,1.6804240565880801,0.005160900495728935,-0.0025408714486759533,0.026219251276830655
-0.9,7.197197197197197,-1.2955600755080152,1.6804592924341093,0.005185955196933698,-0.002546205386002083,0.02612926375180716
-0.9,7.207207207207207,-1.2956400346178933,1.6807011704292767,0.0051922843465528855,-0.0025094680728081314,0.02621208682003341
-0.9,7.217217217217217,-1.2950363141033463,1.6804352623630712,0.005153341942123193,-0.002503459821237508,0.026272146438362367
-0.9,7.227227227227227,-1.2949982998653318,1.6805162554220472,0.005190455251962157,-0.0025745865724100554,0.026201510477100724
-0.9,7.237237237237237,-1.2952453541827937,1.6801536768852303,0.005200393895873241,-0.0025237815841821316,0.026214364252203318
-0.9,7.247247247247247,-1.2953944721063495,1.6804490409550468,0.005183970074934618,-0.002378639342836844,0.026151132030051216
-0.9,7.257257257257257,-1.2952913867470777,1.6805483076805257,0.005170252745913672,-0.0023390506404379337,0.026005794175505404
-0.9,7.267267267267267,-1.2953542974367662,1.6806731450975054,0.00514743981951885,-0.0023514148453839495,0.026158673362773534
-0.9,7.277277277277277,-1.2952226232823292,1.6803630076977927,0.005078682685359397,-0.002391667019205202,0.026268145422853616
-0.9,7.287287287287287,-1.2948517397740704,1.6803479784399158,0.005135065862637503,-0.002418547430176338,0.02644669694210692
-0.9,7.297297297297297,-1.2948695304383955,1.6803872301764542,0.005095839957005116,-0.0024539494673099377,0.02659771967541816
-0.9,7.307307307307307,-1.2948647196864747,1.6799376528792895,0.0051203793169971356,-0.002414728160811325,0.026583419146069324
-0.9,7.317317317317317,-1.294431737083623,1.67970037961077,0.005148010209203334,-0.002391511762818896,0.02664722774885104
